Date,Portfolio_Value,Benchmark_Value,Portfolio_Drawdown,Benchmark_Drawdown
2019-06-14,10976.89799226707,11613.003432202891,-0.0005625267083613873,-0.016222888785809016
2019-06-17,10976.352209036444,11617.418217162674,-0.0006122198195997056,-0.01584889730120103
2019-06-18,11067.485373103958,11739.06825596205,0.0,-0.005543507791258968
2019-06-19,11105.08385661443,11765.56240599796,0.0,-0.003299098019181786
2019-06-20,11283.432959400076,11877.974854086666,0.0,0.0
2019-06-21,11298.966821760556,11860.706054137696,0.0,-0.0014538505225937988
2019-06-24,11365.715163778676,11846.187314320789,0.0,-0.002676175034580124
2019-06-25,11325.202668441452,11730.003394052948,-0.0035644475295608597,-0.012457633717148952
2019-06-26,11283.47577990991,11718.299997694683,-0.007235742114218555,-0.013442936052103694
2019-06-27,11303.125628137917,11759.851474991761,-0.005506871740040114,-0.009944740626746123
2019-06-28,11326.883992958581,11820.367758659511,-0.00341651803344899,-0.004849908855240128
2019-07-01,11289.970859919922,11927.681306928676,-0.00666427961349432,0.0
2019-07-02,11382.92446018242,11958.742569686381,0.0,0.0
2019-07-03,11444.371930616648,12054.355441735888,0.0,0.0
2019-07-05,11384.348059819178,12040.63506260025,-0.0052448374765669895,-0.0011382092723211518
2019-07-08,11325.631226243318,11974.477211460788,-0.010375467093625924,-0.006626503645191809
2019-07-09,11351.110091622411,11989.402611999498,-0.008149144361931896,-0.005388328729008913
2019-07-10,11468.129341272584,12046.687371001677,0.0,-0.0006361244922032017
2019-07-11,11435.362188127976,12074.926489954223,-0.0028572360992374763,0.0
2019-07-12,11488.894273926431,12128.987884706652,0.0,0.0
2019-07-15,11477.680448441919,12133.019130122795,-0.0009760578535361327,0.0
2019-07-16,11411.48309465232,12093.889936255593,-0.006737913799920056,-0.0032250170751033863
2019-07-17,11440.92220964773,12011.58806248131,-0.00417551621025638,-0.010008314199390482
2019-07-18,11514.947601321024,12055.56454334687,0.0,-0.006383785102887283
2019-07-19,11422.571872044691,11988.594730833105,-0.008022244865945844,-0.011903418080923135
2019-07-22,11432.46079572487,12018.04295139663,-0.007163454707053216,-0.009476304083351542
2019-07-23,11449.7801778031,12103.974850142466,-0.005659376470844494,-0.0023938213291216964
2019-07-24,11491.970192893805,12160.857028630751,-0.001995441857206835,0.0
2019-07-25,11428.321275716808,12102.761668323572,-0.007522945705309039,-0.004777242275803698
2019-07-26,11471.916247901609,12183.851720348262,-0.0037369994991969346,0.0
2019-07-29,11497.25874992538,12161.667629935751,-0.0015361642977528107,-0.001820778102171204
2019-07-30,11504.250184021897,12131.812748650422,-0.0009290026901989133,-0.004271142894075963
2019-07-31,11384.218232512707,11999.083585303171,-0.01135301464969929,-0.01516500194569093
2019-08-01,11418.687382283708,11894.59626104708,-0.008359588108440296,-0.023740888016397718
2019-08-02,11367.012473333087,11805.0370574683,-0.012847225459451153,-0.03109153587672965
2019-08-05,11265.738744256258,11450.019527195027,-0.02164220504452636,-0.06022990184029092
2019-08-06,11369.080101648718,11610.585228980928,-0.01266766508390984,-0.047051335203786286
2019-08-07,11432.947182207163,11617.441338340837,-0.00712121513296805,-0.04648861419262536
2019-08-08,11563.874391080317,11845.379433154394,0.0,-0.027780401055651844
2019-08-09,11517.688034154426,11764.694681782204,-0.003994020979812496,-0.03440267069780761
2019-08-12,11497.393224935196,11621.479384103497,-0.005749039110663462,-0.046157188149749624
2019-08-13,11569.342228960417,11802.208113316621,0.0,-0.031323723875780425
2019-08-14,11434.75135502215,11453.246971652688,-0.01163340761079384,-0.05996500658945072
2019-08-15,11479.796264974322,11483.50851365982,-0.007739935617250814,-0.05748126477268249
2019-08-16,11524.379497524911,11652.944587444399,-0.0038863688657212367,-0.04357465480453893
2019-08-19,11529.39114233322,11793.33910138725,-0.003453185655377355,-0.03205165557857351
2019-08-20,11530.444823154705,11702.97201664208,-0.0033621103979743854,-0.03946861097324957
2019-08-21,11560.48059588983,11798.178227969784,-0.0007659582450939909,-0.031654480145581976
2019-08-22,11538.441100520578,11794.55092313684,-0.0026709494652588477,-0.031952194277057
2019-08-23,11496.085859196512,11491.57644476932,-0.006331939043218001,-0.05681908246000506
2019-08-26,11550.646782687905,11618.651800021122,-0.0016159472079331453,-0.046389264519954704
2019-08-27,11589.053748203227,11573.066357169295,0.0,-0.05013072854119641
2019-08-28,11621.114994305712,11654.560349777183,0.0,-0.043442039735850514
2019-08-29,11652.755109633681,11803.419935066211,0.0,-0.03122426257426392
2019-08-30,11626.1672457437,11798.178227969784,-0.0022816804815541224,-0.031654480145581976
2019-09-03,11658.359859857956,11729.195512886554,0.0,-0.03731629519935693
2019-09-04,11775.553170244562,11862.32181647048,0.0,-0.026389840524798543
2019-09-05,11715.456018085331,12014.81822707758,-0.005103552358889552,-0.013873567829816889
2019-09-06,11683.134825030575,12024.099340005969,-0.007848323036536242,-0.013111812586777552
2019-09-09,11672.848539618528,12030.146208130182,-0.008721851885952755,-0.012615510738806611
