"Metric","Value"
"Expected Annual Return","12.9%"
"Annual Volatility","12.4%"
"Sharpe Ratio","0.72"
"Max Drawdown (Portfolio)","-20.8%"
"Max Drawdown (SPY)","-33.7%"
"Total Return (Portfolio)","111.5%"
"Total Return (SPY)","158.4%"
"Final Value (Portfolio)","$21,154"
"Final Value (SPY)","$25,840"
