Ticker,CAGR,Volatility,Sharpe,Max_Drawdown,VaR_95,MC_VaR_95
AGG,0.010820502766574869,0.0637685570818356,-0.4575844047400734,-0.18432910475532582,-0.005847569289543685,-0.006596811237544063
EEM,0.03512738674135307,0.21380290090311432,-0.02279021116207854,-0.3982231858985051,-0.019606259446692257,-0.022059765572795074
EFA,0.07451736891591976,0.18757493410935808,0.1840190912491313,-0.3393009121201404,-0.016537892546777243,-0.01919824777001086
GLD,0.12114589707994217,0.1495183811548684,0.5427151929627483,-0.22002168134715536,-0.015512274404180414,-0.015088161238456604
PDBC,0.08698871521501683,0.18981158063982956,0.24755452252504367,-0.33419835608628207,-0.01913083020715322,-0.0193840179536056
SPY,0.17179761639183355,0.1984194003557891,0.6642375501362522,-0.33717269756338436,-0.017886296018967972,-0.019976269886692828
TLT,-0.029486274544437197,0.1711688502432611,-0.40595163457419364,-0.48351145162918047,-0.01677422773174909,-0.017904515127581566
VNQ,0.07173135296177269,0.23816653737475657,0.13323178525219603,-0.42398183009908513,-0.020855229097197784,-0.02443880655616463
