Date,AGG,EEM,EFA,GLD,PDBC,SPY,TLT,VNQ
2019-01-02,86.33226013183594,33.319095611572266,47.469451904296875,121.33000183105469,7.5533270835876465,224.3825225830078,99.08015441894531,55.5235481262207
2019-01-03,86.68867492675781,32.71499252319336,47.040565490722656,122.43000030517578,7.608278751373291,219.02813720703125,100.2076416015625,55.911720275878906
2019-01-04,86.4294204711914,33.77004623413086,48.48098373413086,121.44000244140625,7.718181133270264,226.3646240234375,99.04769897460938,56.5662727355957
2019-01-07,86.2836685180664,33.846614837646484,48.667118072509766,121.86000061035156,7.778128147125244,228.1494903564453,98.75569152832031,57.12188720703125
2019-01-08,86.21880340576172,33.9742431640625,48.98271179199219,121.52999877929688,7.843070983886719,230.2930450439453,98.49612426757812,58.30162048339844
2019-01-09,86.29173278808594,34.57834243774414,49.532997131347656,122.30999755859375,8.007925987243652,231.36927795410156,98.34202575683594,58.21788024902344
2019-01-10,86.19453430175781,34.82508850097656,49.727203369140625,121.58999633789062,7.9979352951049805,232.1854248046875,97.70932006835938,59.00944900512695
2019-01-11,86.3160629272461,34.6549186706543,49.38732147216797,121.80000305175781,7.967960357666016,232.27516174316406,98.09054565429688,59.176902770996094
2019-01-14,86.19453430175781,34.36562728881836,49.16074752807617,122.08999633789062,7.8830366134643555,230.85801696777344,97.72554779052734,58.979026794433594
2019-01-15,86.21070098876953,34.60386657714844,49.41969680786133,121.87999725341797,7.952973365783691,233.5038604736328,97.36864471435547,59.5422477722168
2019-01-16,86.2836685180664,35.02928924560547,49.557273864746094,122.2699966430664,8.002930641174316,234.0689239501953,97.46600341796875,59.96085739135742
2019-01-17,86.21880340576172,35.18244171142578,49.73530578613281,122.11000061035156,8.002930641174316,235.8447265625,97.49029541015625,60.25007629394531
2019-01-18,86.15400695800781,35.35261154174805,50.23702621459961,121.0199966430664,8.077864646911621,238.98377990722656,96.97930145263672,60.45558166503906
2019-01-22,86.22689056396484,34.74000930786133,49.46015930175781,121.44999694824219,8.027908325195312,235.75503540039062,97.6363525390625,60.27292251586914
2019-01-23,86.3160629272461,35.09736251831055,49.68674087524414,121.27999877929688,8.01791763305664,236.24830627441406,97.59573364257812,60.28053283691406
2019-01-24,86.46188354492188,35.43769836425781,49.74338912963867,121.08999633789062,8.032903671264648,236.37387084960938,98.23653411865234,60.486026763916016
2019-01-25,86.42134857177734,35.90566635131836,50.30984878540039,122.86000061035156,8.072869300842285,238.37393188476562,97.76609802246094,61.23952102661133
2019-01-28,86.37277221679688,35.531288146972656,50.03471374511719,123.29000091552734,7.972956657409668,236.562255859375,97.66876983642578,61.84081268310547
2019-01-29,86.5995864868164,35.590850830078125,50.148006439208984,123.9800033569336,8.037898063659668,236.24830627441406,98.16358184814453,62.32793426513672
2019-01-30,86.79402923583984,36.36511993408203,50.69828414916992,124.69000244140625,8.1028413772583,239.9883270263672,98.09054565429688,62.83027648925781
2019-01-31,87.05325317382812,36.67142868041992,50.72255325317383,124.75,8.077864646911621,242.09597778320312,98.93415069580078,63.48483657836914
2019-02-01,86.87293243408203,36.382137298583984,50.70637893676758,124.5,8.152798652648926,242.2126007080078,98.33662414550781,63.08145523071289
2019-02-04,86.79985046386719,36.44169998168945,50.892494201660156,123.95999908447266,8.152798652648926,243.91664123535156,97.89756774902344,63.55332946777344
2019-02-05,86.98662567138672,36.943695068359375,51.28901672363281,124.27999877929688,8.107837677001953,244.9391632080078,98.34473419189453,63.918670654296875
2019-02-06,86.93791198730469,36.44169998168945,51.03007125854492,123.44000244140625,8.122824668884277,244.61627197265625,98.39348602294922,63.50005340576172
2019-02-07,86.9785385131836,36.07583236694336,50.350318908691406,123.73999786376953,8.047890663146973,242.28436279296875,99.04388427734375,64.02523803710938
2019-02-08,87.17339324951172,35.87162780761719,50.18846893310547,124.20999908447266,8.052886009216309,242.580322265625,99.4666519165039,64.02523803710938
2019-02-11,87.08409881591797,35.75250244140625,50.139915466308594,123.5999984741211,8.007925987243652,242.7148895263672,99.07643127441406,64.20027160644531
2019-02-12,87.10034942626953,36.0503044128418,50.72255325317383,123.86000061035156,8.052886009216309,245.83604431152344,98.82437133789062,63.79689407348633
2019-02-13,86.9460220336914,35.7950439453125,50.730655670166016,123.37000274658203,8.107837677001953,246.6342315673828,98.45043182373047,64.12418365478516
2019-02-14,87.07601928710938,35.86312484741211,50.74683380126953,124.05999755859375,8.132816314697266,246.08721923828125,99.01136016845703,64.32967376708984
2019-02-15,87.14096069335938,35.812068939208984,51.48323440551758,124.80000305175781,8.282684326171875,248.76885986328125,99.16585540771484,64.76351165771484
2019-02-19,87.18965148925781,36.09284973144531,51.67745590209961,126.69999694824219,8.307659149169922,249.19932556152344,99.4178466796875,64.74828338623047
2019-02-20,87.19776153564453,36.297061920166016,51.823116302490234,126.4800033569336,8.337635040283203,249.70155334472656,99.1333236694336,64.34490203857422
2019-02-21,87.00289154052734,36.22047424316406,51.71791076660156,125.05000305175781,8.357616424560547,248.8136444091797,98.2471694946289,64.40579223632812
2019-02-22,87.22212982177734,36.62036895751953,51.88785934448242,125.5,8.382596015930176,250.3562469482422,98.83255004882812,64.78634643554688
2019-02-25,87.19776153564453,37.02877426147461,52.041603088378906,125.37000274658203,8.247713088989258,250.69717407226562,98.53981018066406,64.27639770507812
2019-02-26,87.29524993896484,36.901145935058594,52.29246520996094,125.58000183105469,8.287678718566895,250.51771545410156,99.02764129638672,64.0784912109375
2019-02-27,87.10845184326172,36.58634567260742,52.082069396972656,124.69000244140625,8.327644348144531,250.4100799560547,97.90574645996094,63.758846282958984
2019-02-28,86.95415496826172,36.10986328125,52.00923156738281,123.98999786376953,8.312657356262207,249.94369506835938,97.57241821289062,63.92627716064453
2019-03-01,86.81329345703125,36.152408599853516,52.29246520996094,121.87999725341797,8.222735404968262,251.5043182373047,96.67057037353516,63.7283935546875
2019-03-04,86.9191665649414,36.20344924926758,52.098243713378906,121.55999755859375,8.242717742919922,250.58949279785156,97.42823791503906,64.01763153076172
